Species,Internodal_distance_cm, Leaf_lamina_length _cm,Leaf_lamina_width_cm,Leaf_size_sq.cm, Petiole_length_cm, Petiole_width_cm
M. alba,6.65,18,14.33,180.67,3.33,0.24
M. alba,4.5,18,16.67,226.67,4.67,0.37
M. alba,3.63,17.67,15.17,146.67,5.17,0.24
M. alba,3.44,19.67,15.67,193.67,4.17,0.27
M. alba,5.03,16.83,14.57,229.67,4.5,0.25
M. alba,7.02,11.67,9.33,114,2.5,0.23
M. alba,5.48,20.33,17,222,4.67,0.35
M. alba,7.34,23,21.33,354.67,5.67,0.41
M. alba,2.63,13.67,12,102,2.83,0.2
M. alba,1.82,13,10.67,96.33,3.5,0.23
M. alba,5.63,17.33,15,215.33,5.33,0.35
M. alba,8.45,23,19.83,341.33,5.33,0.4
M. alba,5.53,22.5,18.83,111.67,5.33,0.41
M. alba,7.4,27.67,22.33,299.67,5.53,0.51
M. alba,6.68,11.5,8.83,88.67,3.5,0.17
M. alba,6.96,14.33,12.83,142,3.33,0.31
M. alba,7.73,14.67,11.83,168,5.17,0.21
M. alba,5.79,14,10.67,111,2.67,0.23
M. alba,5.44,18.33,12.83,153.33,4.33,0.27
M. alba,6.78,19.67,17.17,185.33,5.5,0.39
M. alba,4.65,16.67,13.33,128.33,4.5,0.23
M. alba,5.7,12.33,10.17,66.33,5,0.18
M. alba,6.67,17.67,14.17,186,5,0.26
M. alba,5.04,11.67,10.67,120,3.67,0.21
M. alba,6.64,15.67,12.5,181.33,4,0.3
M. alba,7.27,24.07,22.33,218.67,5.33,0.57
M. alba,8.05,21.6,17.6,300.45,4.29,0.43
M. cathayana,7.56,20,18.17,143,7.33,0.28
M. cathayana,4.66,15.67,11.17,132,3.67,0.3
M. indica,4.84,17.33,11.83,151,3,0.25
M. indica,6.21,14.17,13.83,145,3.17,0.21
M. indica,6.2,15.33,11.5,128,3.5,0.28
M. indica,7.32,16.33,12.17,162.33,5.33,0.27
M. indica,5.37,17.67,14.17,163.67,4.33,0.26
M. indica,5.67,16.17,12.37,149.67,4.83,0.2
M. indica,6.39,19.33,13.33,170,5.83,0.25
M. indica,6.03,14.5,11.17,145.67,4.17,0.2
M. indica,6.54,22,13,190.33,5,0.38
M. indica,6.71,18.67,15,188,5.33,0.28
M. indica,6.24,17.5,12.17,140,6,0.21
M. indica,4.03,10.33,7.33,42.33,2.33,0.12
M. indica,6.21,12.33,9.5,88.67,3.17,0.21
M. indica,5.46,13.17,11,135,3.17,0.21
M. indica,4.93,10.67,9.67,75,2.83,0.18
M. indica,3.98,8.67,5.67,38.33,2.5,0.14
M. indica,5.45,13.67,10.67,88.33,4.67,0.2
M. indica,5.65,13.67,11.33,82.33,3.67,0.13
M. indica,6.49,13.33,9.5,90.67,4.5,0.2
M. indica,7.21,16.67,14.17,139.33,3.67,0.28
M. indica,6.53,21.7,17.14,389.67,4.86,0.43
M. indica,7.37,16,13.83,150,3.5,0.21
M. indica,6.23,19.67,16.67,177,4.83,0.38
M. indica,4.47,12.4,12.03,114.23,3.77,0.37
M. indica,2.67,12.7,10.41,97.88,2.54,0.24
M. indica,2.97,16.2,13.3,132.8,4.64,0.4
M. macroura,6.7,12.33,9.17,72.67,4.5,0.17
M. macroura,6.59,15.67,13.83,176.67,3.83,0.28
M. macroura,13.5,20.67,18.67,317.33,4.5,0.4
M. macroura,1.65,13.83,11.5,101.67,3.83,0.3
M. macroura,7.54,16.33,14.5,137.67,4,0.2
M. macroura,6.47,14.5,13,127,3.5,0.25
M. macroura,10.4,29.33,24,451.67,5.83,0.36
M. macroura,5.48,17.5,12.83,155.33,3.83,0.25
M. macroura,5.8,16.33,11.67,106.67,4.67,0.23
M. macroura,6.94,18.67,15.33,199,3,0.34
M. macroura,5.88,16,12.17,166.67,4.5,0.3
M. macroura,9,25.67,20.17,279,4.83,0.33
M. macroura,8.16,16,13.5,163.33,2.83,0.26
M. macroura,9.59,19,13.5,193.33,5.17,0.32
M. macroura,7.59,18.67,25.33,132.33,4.17,0.25
M. macroura,10.7,28.2,23.5,365.33,3.47,0.51
M. macroura,12.04,23.67,22.5,262.33,6.5,0.39
M. rotundiloba,4.41,14.67,11.83,128.67,5.33,0.2
M. serrata,6.2,18.67,13,188,5.83,0.4
M. sinensis,5.52,14.83,11.5,129.67,4,0.18
Morus spp.,5.13,18.17,15.83,199.33,5.33,0.28
Morus spp.,4.15,17.63,14.47,169.67,4.93,0.34
Morus spp.,5.83,19,16.33,287,4.17,0.37
Morus spp.,6.32,16.5,13.33,151.67,4,0.22
Morus spp.,7.65,17.17,14.83,177.67,4,0.29
